database,MALE,weeks_to_death,albumin_avg,idwg_percent_avg,pre_sbp_avg,crp_avg,albumin_std,idwg_percent_std,pre_sbp_std,crp_std,albumin_count,idwg_percent_count,pre_sbp_count,crp_count,patient_count
FMC_EUROPE,0,14,3.61117,3.0156,130.448,19.219,0.55013,1.7482,27.3373,28.0659,352,6339,6389,272,2485
FMC_EUROPE,0,15,3.59433,3.0239,130.851,17.993,0.4957,1.7699,27.3106,26.7683,407,6303,6314,275,2435
FMC_EUROPE,0,16,3.66712,3.0112,130.801,19.458,0.49905,1.7791,27.3888,28.8494,382,6255,6246,296,2447
FMC_EUROPE,0,17,3.61607,3.0245,130.49,17.948,0.51008,1.7455,26.71,26.3125,373,6176,6140,264,2405
FMC_EUROPE,0,18,3.61889,3.0347,131.019,17.311,0.5299,1.6504,26.9842,27.0992,355,6064,6067,263,2350
FMC_EUROPE,0,19,3.64216,3.0266,130.957,17.066,0.55455,1.7547,27.2517,26.0277,369,5993,5965,259,2321
FMC_EUROPE,0,20,3.67739,3.0793,130.839,16.722,0.4562,1.7643,27.0557,22.7334,368,5916,5887,259,2323
FMC_EUROPE,0,21,3.64369,3.0839,130.555,14.989,0.55619,1.7552,26.4726,21.8693,407,5896,5822,268,2292
FMC_EUROPE,0,22,3.61794,3.1139,131.274,14.236,0.57452,1.8072,26.677,22.3638,364,5789,5754,265,2248
FMC_EUROPE,0,23,3.6837,3.0802,130.972,14.639,0.5217,1.821,27.0419,22.4385,343,5749,5691,240,2221
FMC_EUROPE,0,24,3.65718,3.0473,131.037,15.057,0.49025,1.6679,26.9994,22.2117,356,5671,5598,244,2196
FMC_EUROPE,0,25,3.67388,3.0529,131.169,17.762,0.50943,1.8142,26.4801,25.9599,370,5641,5554,249,2184
FMC_EUROPE,0,26,3.63128,3.0735,131.372,12.78,0.49394,1.65,26.6129,19.2491,362,5589,5470,231,2178
FMC_EUROPE,0,27,3.64313,3.0671,131.504,17.094,0.56602,1.7379,26.4611,25.2033,312,5462,5410,216,2127
FMC_EUROPE,0,28,3.65905,3.0909,131.878,15.844,0.49424,1.6677,26.4038,23.8305,327,5487,5358,230,2118
FMC_EUROPE,0,29,3.67266,3.0888,131.531,13.95,0.48734,1.7007,26.061,21.4401,357,5389,5290,245,2092
FMC_EUROPE,0,30,3.69,3.1321,131.436,14.642,0.49857,1.7374,25.88,23.5336,364,5306,5196,242,2073
